r(B_06,5)	round(B_06_ERR,5)	round(V_06,5)	round(V_06_ERR,5)	round(R_06,5)	round(R_06_ERR,5)	round(F814W_06,5)	round(F814W_06_ERR,5)	round(Z_06,5)	round(Z_06_ERR,5)	round(Z_BEST,8)	CLASSIF	Z_USE
23.28710	0.03140	22.75680	0.02090	22.34850	0.01720	21.95520	0.06540	21.80260	0.01590	-999.98999023	3	4.00000000
24.70260	0.07060	23.39890	0.03130	22.80110	0.02200	21.33450	0.04240	20.89270	0.00990	-999.98999023	1	4.00000000
24.12270	0.04770	23.16730	0.02590	22.85250	0.02200	21.61250	0.05280	21.14470	0.01070	-999.98999023	1	3.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	3	4.00000000
21.60610	0.01420	20.63020	0.00760	20.14310	0.00620	19.22350	0.01300	18.97470	0.00370	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
24.30550	0.05080	23.80970	0.03500	23.31960	0.02730	22.02550	0.06840	21.41600	0.01220	-999.98999023	2	3.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
21.93270	0.01650	21.96300	0.01430	21.77640	0.01310	21.83030	0.06450	21.47390	0.01330	-999.98999023	1	4.00000000
22.31100	0.01990	22.21530	0.01620	22.05160	0.01500	-999.98999	-999.98999	21.69890	0.01550	-999.98999023	2	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
21.12780	0.01130	21.49360	0.01140	21.47250	0.01130	21.13490	0.03800	21.00820	0.01000	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.41770	0.03370	22.23230	0.01640	21.70720	0.01290	20.62320	0.02620	20.30540	0.00710	-999.98999023	1	4.00000000
23.20800	0.03030	22.86060	0.02240	22.72780	0.02070	22.53200	0.10960	22.27790	0.02160	-999.98999023	2	3.00000000
21.26650	0.01210	20.85540	0.00850	20.89010	0.00870	20.27580	0.02270	20.02000	0.00600	-999.98999023	1	4.00000000
20.01440	0.00680	19.43180	0.00440	19.23880	0.00410	-999.98999	-999.98999	18.88650	0.00360	-999.98999023	1	4.00000000
23.07060	0.02810	22.84480	0.02170	22.53880	0.01880	21.78510	0.05430	21.64440	0.01400	-999.98999023	1	4.00000000
23.36650	0.03250	22.91200	0.02310	23.16590	0.02630	21.92970	0.06160	21.80410	0.01610	-999.98999023	0	3.00000000
23.55410	0.03540	23.08200	0.02430	22.60310	0.01950	21.84840	0.06200	21.53270	0.01350	-999.98999023	3	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
20.04050	0.00690	19.44260	0.00440	19.16420	0.00390	-999.98999	-999.98999	18.62230	0.00310	-999.98999023	1	4.00000000
22.79070	0.02480	22.79400	0.02160	22.70310	0.02050	22.39770	0.08730	22.00250	0.01900	-999.98999023	2	3.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.55400	0.03600	22.49290	0.01840	21.92560	0.01400	20.62730	0.02830	20.18000	0.00650	-999.98999023	1	4.00000000
23.31680	0.03180	22.98280	0.02370	22.89740	0.02290	21.42010	0.04500	21.33250	0.01220	-999.98999023	0	4.00000000
23.69430	0.03830	23.14730	0.02530	22.79970	0.02250	21.68530	0.05400	-999.98999	-999.98999	-999.98999023	3	4.00000000
19.84290	0.00630	19.36120	0.00430	19.25560	0.00410	-999.98999	-999.98999	18.94440	0.00360	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
18.21920	0.00300	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	0	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
17.83870	0.00250	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
18.61000	0.00360	17.89050	0.00220	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.70000	0.03890	22.41900	0.01790	21.80980	0.01330	20.02640	0.01980	19.50580	0.00470	-999.98999023	1	4.00000000
20.05070	0.00690	19.57940	0.00470	19.47390	0.00450	19.18290	0.01280	19.09500	0.00390	-999.98999023	1	4.00000000
22.61760	0.02280	21.49740	0.01150	20.97980	0.00900	19.70530	0.01670	19.32810	0.00430	-999.98999023	1	4.00000000
18.19970	0.00290	17.86620	0.00210	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
21.56860	0.01390	20.62520	0.00760	20.19100	0.00630	19.44120	0.01450	19.20750	0.00410	-999.98999023	1	4.00000000
19.15850	0.00460	18.66340	0.00310	18.53720	0.00290	-999.98999	-999.98999	18.22770	0.00270	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
21.40640	0.01290	21.63980	0.01220	22.01440	0.01480	22.29450	0.06860	22.51840	0.02640	-999.98999023	1	4.00000000
25.05170	0.07940	24.71350	0.05890	24.07730	0.04230	23.16260	0.16470	22.88370	0.03430	-999.98999023	0	4.00000000
24.15300	0.04850	23.16010	0.02570	22.84500	0.02200	21.72420	0.05420	21.79240	0.01620	-999.98999023	2	4.00000000
22.33180	0.02000	21.17160	0.00980	20.65590	0.00790	19.33820	0.01380	18.93520	0.00360	-999.98999023	1	4.00000000
23.28950	0.03130	22.87160	0.02210	22.61480	0.01960	21.89020	0.05460	21.38770	0.01230	-999.98999023	0	4.00000000
21.64690	0.01450	20.63090	0.00760	20.13600	0.00620	19.11420	0.01230	18.77800	0.00340	-999.98999023	1	4.00000000
21.93730	0.01660	21.51610	0.01160	21.32580	0.01070	20.78470	0.03020	20.30950	0.00720	-999.98999023	0	4.00000000
21.81220	0.01560	20.78610	0.00820	20.30640	0.00670	-999.98999	-999.98999	18.69370	0.00320	-999.98999023	1	4.00000000
17.92110	0.00260	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
21.50330	0.01350	20.79830	0.00820	20.53840	0.00740	19.89910	0.01810	-999.98999	-999.98999	-999.98999023	0	4.00000000
23.70180	0.03990	23.53590	0.03350	23.23190	0.02810	24.02230	0.34640	23.01130	0.03970	-999.98999023	0	4.00000000
20.60120	0.00890	20.28040	0.00650	20.18610	0.00630	19.97500	0.01930	19.85080	0.00550	-999.98999023	1	4.00000000
19.61900	0.00570	18.94840	0.00350	18.71740	0.00320	-999.98999	-999.98999	18.20000	0.00270	-999.98999023	1	4.00000000
22.84380	0.02540	21.79440	0.01310	21.33720	0.01070	19.94290	0.01880	19.56000	0.00480	-999.98999023	1	4.00000000
19.41980	0.00520	18.46880	0.00280	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.58310	0.03640	22.33640	0.01710	21.72740	0.01280	20.12280	0.02080	19.60990	0.00490	-999.98999023	1	4.00000000
24.21870	0.05040	23.17950	0.02590	22.62010	0.01950	21.08080	0.03640	20.57340	0.00800	-999.98999023	1	4.00000000
21.12390	0.01130	19.95990	0.00560	19.37500	0.00430	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
22.78340	0.02470	21.61420	0.01210	21.11290	0.00960	20.04280	0.01990	19.70500	0.00510	-999.98999023	1	4.00000000
20.21010	0.00750	19.14940	0.00380	18.65820	0.00310	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.66460	0.03750	22.83190	0.02160	22.30690	0.01680	21.05740	0.03370	-999.98999	-999.98999	-999.98999023	1	4.00000000
25.08360	0.08120	23.71450	0.03460	23.12860	0.02510	21.45760	0.04380	21.01020	0.01010	-999.98999023	1	4.00000000
