round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_ZCOS	Z_USE
23.06080055	0.02830000	22.35110092	0.01720000	22.07130051	0.01500000	21.54500008	1.00000000	0.01270000	0.04840000	21.46929932	0.01310000	0.38540000	3.00000000
23.77790070	0.03940000	23.16510010	0.02520000	22.81299973	0.02160000	22.07379913	1.00000000	0.01670000	0.08180000	22.04120064	0.01750000	-999.98999023	4.00000000
22.79310036	0.02470000	22.06410027	0.01490000	21.81850052	0.01330000	21.26379967	1.00000000	0.01110000	0.02870000	21.27260017	0.01120000	-999.98999023	4.00000000
23.45829964	0.03410000	22.20089912	0.01600000	21.62590027	0.01220000	20.32749939	2.00000000	-999.98999023	0.01330000	19.76779938	0.00530000	-999.98999023	4.00000000
22.30900002	0.01980000	21.67270088	0.01230000	21.33079910	0.01060000	20.46969986	1.00000000	0.00860000	0.01210000	20.43490028	0.00740000	-999.98999023	4.00000000
20.30999947	0.00790000	20.04409981	0.00590000	20.01829910	0.00590000	19.80400085	2.00000000	-999.98999023	0.01130000	19.88579941	0.00590000	-999.98999023	4.00000000
23.28709984	0.03140000	22.75679970	0.02090000	22.34849930	0.01720000	21.78849983	1.00000000	0.01490000	0.07500000	21.80260086	0.01590000	-999.98999023	4.00000000
24.70260048	0.07060000	23.39889908	0.03130000	22.80109978	0.02200000	21.52330017	2.00000000	-999.98999023	0.04410000	20.89270020	0.00990000	-999.98999023	4.00000000
23.68959999	0.03820000	23.43910027	0.02960000	23.18790054	0.02670000	22.05340004	1.00000000	0.01840000	0.07530000	21.98399925	0.01750000	-999.98999023	4.00000000
24.12269974	0.04770000	23.16729927	0.02590000	22.85250092	0.02200000	21.38039970	1.00000000	0.01350000	0.05010000	21.14469910	0.01070000	0.83539999	3.00000000
21.60610008	0.01420000	20.63019943	0.00760000	20.14310074	0.00620000	19.22150040	2.00000000	-999.98999023	0.00670000	18.97470093	0.00370000	-999.98999023	4.00000000
24.30550003	0.05080000	23.80970001	0.03500000	23.31959915	0.02730000	21.88780022	1.00000000	0.01630000	0.05370000	21.41600037	0.01220000	0.80010003	3.00000000
21.93269920	0.01650000	21.96299934	0.01430000	21.77639961	0.01310000	21.48559952	1.00000000	0.01240000	0.04140000	21.47389984	0.01330000	1.24699998	4.00000000
21.12779999	0.01130000	21.49360085	0.01140000	21.47249985	0.01130000	21.03529930	2.00000000	-999.98999023	0.01910000	21.00819969	0.01000000	1.83980000	4.00000000
23.41769981	0.03370000	22.23229980	0.01640000	21.70719910	0.01290000	20.75709915	2.00000000	-999.98999023	0.01330000	20.30540085	0.00710000	-999.98999023	4.00000000
21.26650047	0.01210000	20.85540009	0.00850000	20.89010048	0.00870000	20.05200005	1.00000000	0.00730000	0.01140000	20.02000046	0.00600000	-999.98999023	4.00000000
23.07060051	0.02810000	22.84480095	0.02170000	22.53879929	0.01880000	21.83049965	2.00000000	-999.98999023	0.04050000	21.64439964	0.01400000	-999.98999023	4.00000000
23.36650085	0.03250000	22.91200066	0.02310000	23.16589928	0.02630000	21.91720009	1.00000000	0.01830000	0.09420000	21.80410004	0.01610000	1.04079998	3.00000000
23.55410004	0.03540000	23.08200073	0.02430000	22.60309982	0.01950000	21.16460037	1.00000000	0.01410000	0.03980000	21.53269958	0.01350000	-999.98999023	4.00000000
24.82970047	0.07090000	24.26779938	0.04790000	23.61420059	0.03270000	22.17429924	1.00000000	0.02030000	0.09990000	21.87150002	0.01750000	0.10360000	3.00000000
22.79070091	0.02480000	22.79400063	0.02160000	22.70310020	0.02050000	22.31520081	1.00000000	0.01870000	0.08530000	22.00250053	0.01900000	0.28080001	3.00000000
23.55400085	0.03600000	22.49290085	0.01840000	21.92560005	0.01400000	20.71419907	2.00000000	-999.98999023	0.02090000	20.18000031	0.00650000	-999.98999023	4.00000000
23.31679916	0.03180000	22.98279953	0.02370000	22.89739990	0.02290000	21.59280014	1.00000000	0.01460000	0.06870000	21.33250046	0.01220000	-999.98999023	4.00000000
23.69429970	0.03830000	23.14730072	0.02530000	22.79969978	0.02250000	22.08699989	1.00000000	0.01910000	0.06720000	-999.98999023	-999.98999023	-999.98999023	4.00000000
23.70000076	0.03890000	22.41900063	0.01790000	21.80979919	0.01330000	20.17650032	2.00000000	-999.98999023	0.01360000	19.50580025	0.00470000	-999.98999023	4.00000000
20.05069923	0.00690000	19.57939911	0.00470000	19.47389984	0.00450000	19.09410095	2.00000000	-999.98999023	0.00600000	19.09499931	0.00390000	-999.98999023	4.00000000
22.61759949	0.02280000	21.49740028	0.01150000	20.97979927	0.00900000	19.76379967	2.00000000	-999.98999023	0.00980000	19.32810020	0.00430000	-999.98999023	4.00000000
21.56859970	0.01390000	20.62520027	0.00760000	20.19099998	0.00630000	19.43779945	2.00000000	-999.98999023	0.00760000	19.20750046	0.00410000	-999.98999023	4.00000000
21.40640068	0.01290000	21.63979912	0.01220000	22.01440048	0.01480000	22.06310081	1.00000000	0.01710000	0.08210000	22.51840019	0.02640000	-999.98999023	4.00000000
24.15299988	0.04850000	23.16010094	0.02570000	22.84499931	0.02200000	22.43180084	1.00000000	0.01890000	0.05980000	21.79240036	0.01620000	-999.98999023	4.00000000
22.33180046	0.02000000	21.17160034	0.00980000	20.65589905	0.00790000	19.39270020	2.00000000	-999.98999023	0.00770000	18.93519974	0.00360000	-999.98999023	4.00000000
23.28949928	0.03130000	22.87159920	0.02210000	22.61479950	0.01960000	22.16099930	1.00000000	0.01520000	0.04400000	21.38769913	0.01230000	-999.98999023	4.00000000
21.64690018	0.01450000	20.63089943	0.00760000	20.13599968	0.00620000	19.11940002	2.00000000	-999.98999023	0.00610000	18.77799988	0.00340000	-999.98999023	4.00000000
21.93729973	0.01660000	21.51609993	0.01160000	21.32579994	0.01070000	20.49169922	1.00000000	0.00850000	0.02100000	20.30949974	0.00720000	-999.98999023	4.00000000
25.28140068	0.08980000	24.26390076	0.04640000	23.61120033	0.03210000	22.78960037	1.00000000	0.02060000	0.10200000	21.83480072	0.01630000	-999.98999023	4.00000000
21.50329971	0.01350000	20.79829979	0.00820000	20.53840065	0.00740000	19.55430031	2.00000000	-999.98999023	0.00890000	-999.98999023	-999.98999023	-999.98999023	4.00000000
20.60120010	0.00890000	20.28039932	0.00650000	20.18610001	0.00630000	19.90049934	2.00000000	-999.98999023	0.01090000	19.85079956	0.00550000	-999.98999023	4.00000000
22.84379959	0.02540000	21.79439926	0.01310000	21.33720016	0.01070000	20.06999969	2.00000000	-999.98999023	0.01220000	19.55999947	0.00480000	-999.98999023	4.00000000
23.58309937	0.03640000	22.33639908	0.01710000	21.72739983	0.01280000	20.27370071	2.00000000	-999.98999023	0.01600000	19.60989952	0.00490000	-999.98999023	4.00000000
24.21870041	0.05040000	23.17950058	0.02590000	22.62010002	0.01950000	21.27429962	2.00000000	-999.98999023	0.03300000	20.57340050	0.00800000	-999.98999023	4.00000000
22.78339958	0.02470000	21.61420059	0.01210000	21.11289978	0.00960000	20.14030075	2.00000000	-999.98999023	0.01390000	19.70499992	0.00510000	-999.98999023	4.00000000
23.66460037	0.03750000	22.83189964	0.02160000	22.30690002	0.01680000	21.04590034	2.00000000	-999.98999023	0.02660000	-999.98999023	-999.98999023	-999.98999023	4.00000000
25.08359909	0.08120000	23.71450043	0.03460000	23.12859917	0.02510000	21.68829918	2.00000000	-999.98999023	0.05140000	21.01020050	0.01010000	-999.98999023	4.00000000
25.52919960	0.10490000	24.21759987	0.04570000	23.42910004	0.02960000	21.61280060	2.00000000	-999.98999023	0.04680000	20.73349953	0.00870000	-999.98999023	4.00000000
21.83489990	0.01580000	20.72750092	0.00800000	20.25709915	0.00650000	19.38850021	2.00000000	-999.98999023	0.00830000	19.14159966	0.00400000	-999.98999023	4.00000000
24.89119911	0.07290000	24.02779961	0.04100000	23.36899948	0.02870000	21.35169983	2.00000000	-999.98999023	0.04230000	20.48069954	0.00760000	-999.98999023	4.00000000
26.04549980	0.14830001	25.14170074	0.08150000	24.20770073	0.04510000	21.95369911	2.00000000	-999.98999023	0.06390000	20.82029915	0.00910000	-999.98999023	4.00000000
23.84119987	0.04200000	22.65379906	0.02000000	22.00679970	0.01460000	20.59390068	2.00000000	-999.98999023	0.01930000	19.90950012	0.00570000	-999.98999023	4.00000000
24.07869911	0.04760000	23.03610039	0.02450000	22.48520088	0.01840000	21.39999962	2.00000000	-999.98999023	0.03880000	20.84390068	0.00930000	-999.98999023	4.00000000
24.27529907	0.05390000	23.72470093	0.03590000	23.39959908	0.03010000	22.34749985	2.00000000	-999.98999023	0.09820000	21.90419960	0.01840000	-999.98999023	4.00000000
23.29940033	0.03220000	22.34219933	0.01740000	21.77669907	0.01320000	20.30010033	2.00000000	-999.98999023	0.01610000	19.55559921	0.00490000	-999.98999023	4.00000000
24.41850090	0.05670000	23.82769966	0.03760000	23.52599907	0.03160000	22.57659912	2.00000000	-999.98999023	0.13600001	22.19160080	0.02040000	-999.98999023	4.00000000
23.06599998	0.02840000	22.74419975	0.02090000	22.66500092	0.02010000	22.18919945	1.00000000	0.01820000	0.11500000	22.31320000	0.02250000	-999.98999023	4.00000000
22.36770058	0.02020000	22.36300087	0.01720000	22.34659958	0.01710000	21.87129974	1.00000000	0.01630000	0.06900000	22.09620094	0.01840000	-999.98999023	4.00000000
21.94319916	0.01660000	21.92869949	0.01430000	21.93490028	0.01410000	21.29610062	1.00000000	0.01350000	0.05420000	21.69319916	0.01580000	-999.98999023	4.00000000
22.14529991	0.01820000	22.20890045	0.01590000	22.19459915	0.01590000	21.97419930	1.00000000	0.01500000	0.06170000	21.93959999	0.01620000	-999.98999023	4.00000000
21.89780045	0.01620000	21.78779984	0.01310000	21.77409935	0.01310000	21.40609932	1.00000000	0.01210000	0.04380000	21.51700020	0.01320000	-999.98999023	4.00000000
22.54199982	0.02180000	22.46809959	0.01780000	22.47170067	0.01790000	22.05349922	1.00000000	0.01650000	0.04940000	22.22789955	0.01760000	-999.98999023	4.00000000
21.63660049	0.01430000	21.51939964	0.01150000	21.49699974	0.01140000	21.19409943	1.00000000	0.01050000	0.02830000	21.21680069	0.01080000	-999.98999023	4.00000000
22.76490021	0.02410000	22.72310066	0.02000000	22.66539955	0.01950000	22.25639915	1.00000000	0.01790000	0.04030000	22.37170029	0.01790000	-999.98999023	4.00000000
22.45269966	0.02090000	22.32320023	0.01670000	22.22260094	0.01590000	21.77420044	1.00000000	0.01430000	0.03030000	21.82519913	0.01410000	-999.98999023	4.00000000
23.60379982	0.03750000	22.59939957	0.01950000	22.61059952	0.01980000	21.37989998	2.00000000	-999.98999023	0.04370000	20.76989937	0.00910000	-999.98999023	4.00000000
19.14879990	0.00460000	19.17169952	0.00390000	19.34910011	0.00430000	19.28680038	2.00000000	-999.98999023	0.00780000	19.47430038	0.00470000	-999.98999023	4.00000000
22.98990059	0.02750000	22.55629921	0.01920000	22.37350082	0.01770000	20.90399933	1.00000000	0.01630000	0.08300000	21.43759918	0.01340000	-999.98999023	4.00000000
22.19529915	0.01880000	21.94129944	0.01410000	22.40229988	0.01770000	21.65349960	1.00000000	0.02780000	0.20940000	23.55750084	0.05570000	-999.98999023	4.00000000
22.90609932	0.02650000	22.19440079	0.01600000	22.70190048	0.02070000	22.85140038	1.00000000	0.03260000	1.46650004	25.84289932	0.42039999	-999.98999023	4.00000000
22.83009911	0.02560000	22.60549927	0.01970000	22.90340042	0.02280000	22.65069962	1.00000000	0.02870000	0.18570000	24.06010056	0.08870000	-999.98999023	4.00000000
22.31870079	0.02000000	21.79039955	0.01320000	21.32519913	0.01070000	19.77750015	2.00000000	-999.98999023	0.01140000	19.19799995	0.00410000	-999.98999023	4.00000000
23.53089905	0.03850000	23.40830040	0.03140000	23.09199905	0.02680000	22.43519974	1.00000000	0.02870000	0.22860000	23.26580048	0.04840000	-999.98999023	4.00000000
22.65270042	0.02330000	22.39329910	0.01750000	22.81719971	0.02160000	22.86210060	1.00000000	0.02760000	0.13259999	23.77610016	0.06270000	-999.98999023	4.00000000
21.38750076	0.01280000	20.85350037	0.00850000	20.47909927	0.00710000	19.31859970	1.00000000	0.00630000	0.01300000	19.74130058	0.00530000	-999.98999023	4.00000000
21.61779976	0.01430000	21.12360001	0.00960000	20.89749908	0.00870000	19.32340050	1.00000000	0.00770000	0.02010000	20.31349945	0.00700000	-999.98999023	4.00000000
-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	24.86380005	1.00000000	-999.98999023	0.14760000	27.13929939	0.52969998	-999.98999023	4.00000000
-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	24.16950035	1.00000000	0.08240000	0.20100001	25.03989983	0.12350000	-999.98999023	4.00000000
-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	24.96850014	1.00000000	-999.98999023	0.14090000	26.81520081	0.38190001	-999.98999023	4.00000000
22.59799957	0.02280000	22.76659966	0.02170000	22.83749962	0.02200000	22.30369949	1.00000000	0.02910000	0.13440000	23.39520073	0.04790000	-999.98999023	4.00000000
22.46199989	0.02150000	22.22229958	0.01640000	22.53230095	0.01950000	20.92250061	1.00000000	0.02410000	0.45780000	23.49209976	0.05540000	-999.98999023	4.00000000
23.34099960	0.03220000	22.97520065	0.02300000	22.87610054	0.02200000	22.60729980	1.00000000	0.02870000	0.11780000	23.56010056	0.04900000	-999.98999023	4.00000000
-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	24.58239937	1.00000000	-999.98999023	0.16120000	26.38380051	0.27800000	-999.98999023	4.00000000
22.80310059	0.02500000	22.57659912	0.01930000	22.89780045	0.02290000	23.48590088	1.00000000	0.03370000	-999.98999023	24.06660080	0.08490000	-999.98999023	4.00000000
22.77930069	0.02490000	22.73410034	0.02090000	22.82040024	0.02180000	22.75449944	1.00000000	0.02600000	0.14180000	22.96389961	0.03620000	-999.98999023	4.00000000
22.34280014	0.02170000	21.87669945	0.01450000	22.94989967	0.03570000	20.21879959	1.00000000	0.02020000	0.16050000	22.29249954	0.02880000	-999.98999023	4.00000000
21.94090080	0.01670000	21.59760094	0.01200000	21.35120010	0.01080000	19.48439980	2.00000000	-999.98999023	0.01910000	20.03310013	0.00610000	-999.98999023	4.00000000
22.15460014	0.01840000	22.40749931	0.01770000	22.17149925	0.01590000	19.59379959	1.00000000	0.01350000	0.06300000	21.69709969	0.01540000	-999.98999023	4.00000000
21.26359940	0.01210000	21.29640007	0.01040000	21.58790016	0.01200000	20.83469963	1.00000000	0.01640000	0.14659999	22.34580040	0.02300000	-999.98999023	4.00000000
21.89279938	0.01640000	22.09539986	0.01550000	22.02739906	0.01500000	19.45750046	1.00000000	0.01380000	0.05330000	21.73710060	0.01630000	-999.98999023	4.00000000
22.08060074	0.01770000	22.45569992	0.01810000	22.80760002	0.02350000	23.17760086	1.00000000	0.02960000	0.15340000	23.25320053	0.03510000	-999.98999023	4.00000000
20.79969978	0.00980000	21.15839958	0.00990000	21.58839989	0.01340000	20.26289940	1.00000000	0.01640000	0.02650000	22.11170006	0.02320000	-999.98999023	4.00000000
21.28300095	0.01230000	21.33740044	0.01070000	21.64380074	0.01240000	20.50970078	1.00000000	0.01500000	0.18510000	22.50429916	0.02780000	-999.98999023	4.00000000
21.65150070	0.01450000	21.85729980	0.01360000	21.74729919	0.01300000	18.98419952	1.00000000	0.01230000	0.05980000	21.74020004	0.01570000	-999.98999023	4.00000000
21.60260010	0.01420000	21.89220047	0.01390000	21.73250008	0.01300000	19.43630028	1.00000000	0.01200000	0.05520000	21.62630081	0.01540000	-999.98999023	4.00000000
22.30050087	0.02000000	22.20249939	0.01650000	21.70719910	0.01310000	20.33259964	1.00000000	0.01030000	0.00320000	20.82089996	0.00990000	0.62949997	4.00000000
21.68790054	0.01490000	21.75720024	0.01310000	21.47839928	0.01150000	19.37840080	1.00000000	0.00950000	0.01780000	20.79940033	0.00970000	-999.98999023	4.00000000
22.17849922	0.01890000	21.97999954	0.01460000	21.99539948	0.01450000	19.41550064	1.00000000	0.01310000	0.05550000	21.35390091	0.01270000	-999.98999023	4.00000000
22.01169968	0.01720000	21.88730049	0.01380000	22.03079987	0.01480000	20.58429909	1.00000000	0.01510000	0.05920000	21.97039986	0.01790000	-999.98999023	4.00000000
20.95450020	0.01050000	21.12730026	0.00960000	21.23290062	0.01020000	18.93779945	1.00000000	0.01140000	0.06410000	21.64809990	0.01530000	-999.98999023	4.00000000
21.09830093	0.01120000	21.43350029	0.01110000	21.57449913	0.01190000	18.99530029	1.00000000	0.01090000	0.05370000	21.32290077	0.01230000	-999.98999023	4.00000000
20.93120003	0.01040000	21.26539993	0.01030000	21.38559914	0.01090000	21.55979919	1.00000000	0.01290000	0.05950000	21.76129913	0.01500000	-999.98999023	4.00000000
20.52249908	0.00860000	20.81110001	0.00830000	20.96159935	0.00900000	20.02370071	1.00000000	0.01010000	0.06390000	21.46850014	0.01370000	-999.98999023	4.00000000
20.86969948	0.01010000	20.94289970	0.00880000	21.24239922	0.01020000	20.86240005	1.00000000	0.01040000	0.07470000	21.59469986	0.01500000	-999.98999023	4.00000000
20.60449982	0.00890000	20.84659958	0.00840000	21.09460068	0.00960000	20.10219955	1.00000000	0.01050000	0.05690000	21.35029984	0.01240000	-999.98999023	4.00000000
20.48710060	0.00850000	20.70219994	0.00790000	20.84289932	0.00850000	20.28380013	1.00000000	0.00980000	0.04540000	21.24530029	0.01200000	-999.98999023	4.00000000
20.30349922	0.00780000	20.60320091	0.00750000	20.77009964	0.00820000	19.82959938	1.00000000	0.00920000	0.04320000	21.11910057	0.01090000	-999.98999023	4.00000000
20.40080070	0.00810000	20.69779968	0.00790000	20.81040001	0.00840000	20.23189926	1.00000000	0.00950000	0.04370000	21.23810005	0.01180000	-999.98999023	4.00000000
20.35549927	0.00790000	20.28610039	0.00650000	20.29030037	0.00660000	18.46540070	1.00000000	0.00530000	0.00990000	19.34289932	0.00440000	-999.98999023	4.00000000
20.11610031	0.00710000	20.60260010	0.00760000	20.65850067	0.00780000	20.57360077	1.00000000	0.00830000	0.03590000	20.59580040	0.00830000	-999.98999023	4.00000000
20.05209923	0.00690000	20.30240059	0.00650000	20.43470001	0.00700000	20.19479942	1.00000000	0.00750000	0.03530000	20.49049950	0.00780000	-999.98999023	4.00000000
-999.98999023	-999.98999023	25.68269920	0.12680000	24.89629936	0.06810000	22.33720016	1.00000000	0.01980000	0.12060000	21.51720047	0.01390000	-999.98999023	4.00000000
